year_month,hawkish_dovish_index,topic_shift,sentiment_momentum,hawkish_dovish_index_norm,topic_shift_norm,sentiment_momentum_norm,composite_signal,signal_label,composite_signal_smooth
2016-06,-0.45468537028565126,0.0245491472447691,0.5844313447472004,-0.4547594018183546,0.33519316952568357,0.2966543310811979,0.0076504894547225755,neutral,0.09020945354639413
2016-07,-0.48926726135896287,0.020566448865036745,0.47012879429530186,-0.4893469234893657,0.28081354974268896,0.23863494702531685,-0.039904220365344564,neutral,0.2238469108278435
2016-08,0.9796699604678941,0.02240907034295885,-0.030886471244733538,0.979829469599827,0.30597263682879594,-0.015677813226339574,0.4790202349206677,hawkish,0.14892216800334854
2016-09,-0.5028167948306064,0.008542530818110693,-0.12032856136238768,-0.5028986630859384,0.11663940715103588,-0.06107815606016567,-0.18449108990711433,neutral,0.08487497488273622
2016-10,0.006923646853828802,0.03645986840911174,0.49047727053197904,0.006924774156843112,0.49782172597231705,0.2489637284309826,0.22680554598372712,neutral,0.1737782303324268
2016-11,0.16240342765212007,0.05203965348803604,-0.7931663320394352,0.16242987005702483,0.7105475485463104,-0.4026071321843028,0.15735407293141224,neutral,0.06655617633600831
2016-12,-0.9970550600886887,0.042826171601134055,-0.48559566314520597,-0.997217399849569,0.5847469997432883,-0.2464858497426816,-0.29740861493964565,neutral,0.028917001325164542
2017-01,-0.9872017893996221,0.019811782480258944,-0.9853135906336272,-0.9873625248583214,0.2705093621908358,-0.5001400879021421,-0.46383422765672055,dovish,-0.2012962565549847
2017-02,-0.0012597471098387478,0.02597374291422173,-0.15915793690489702,-0.0012599522209231473,0.3546445473261136,-0.08078774647038967,0.08165305936834794,neutral,-0.2265299277426728
2017-03,0.9872702652854797,0.03719932454852163,1.9608133134354209,0.9874310118933716,0.5079182333834591,0.9952987071969986,0.845937486931486,hawkish,0.1545854395477044
2017-04,0.7405203141911797,0.035767337515477095,1.6943052589770047,0.7406408851561594,0.4883659341715932,0.8600205956896305,0.7007723130208309,hawkish,0.5427876197735548
2017-05,-0.35119810389269973,0.024503162357366923,-0.37484589195715246,-0.35125528570591125,0.3345652935345164,-0.1902698380854028,-0.09721347764763041,neutral,0.4831654407682287
2017-06,0.9901907026697345,0.06864313786676948,0.007301093460637342,0.9903519247810622,0.9372509243739046,0.003705997318921273,0.6784278464202727,hawkish,0.42732889393115764
2017-07,-0.09164933490546329,0.07323880519256246,-0.8054241227416075,-0.09166425718178378,1.0,-0.4088291234138443,0.14068556010313316,neutral,0.2406333096252584
2017-08,-0.9872969751640298,0.04134845467379412,-0.5902471781783252,-0.9874577261208043,0.5645703062069223,-0.2996064180828564,-0.315493924011102,dovish,0.16787316083743453
2017-09,0.16128792573315218,0.02706287632049614,-0.822256942341456,0.16131418651286686,0.3695155355052738,-0.4173733756745842,0.050168322554353606,neutral,-0.04154668045120515
2017-10,0.004058510422289485,0.05425234197575583,0.08926961331938194,0.004059171225927979,0.7407595172137689,0.045312794502138654,0.23744536200514343,neutral,-0.009293413150535057
2017-11,0.5029956794088853,0.05566440835450409,1.4757316364322879,0.5030775767900709,0.7600398205316015,0.7490737541644817,0.6539651031248533,hawkish,0.3138595958947834
2017-12,-0.668142380009915,0.028858616466980125,-0.8235757643576679,-0.6682511664536598,0.39403450658573513,-0.41804280291621126,-0.27450295548060677,neutral,0.20563583654979656
2018-01,-0.025112914557028465,0.031676672304612075,-0.07292856244829488,-0.025117003423037364,0.4325121391771271,-0.037018161507354576,0.10860139193171682,neutral,0.16268784652532103
