date,topic,cluster_compound,n_sentences
2024-05-01,20,-0.497335635611762,2
2024-05-01,21,-0.0008812934975139797,1
2024-05-01,22,-0.0009757969173733727,1
2024-05-01,25,9.015304276852969e-05,3
2024-05-01,26,0.4698985651427847,2
2024-05-01,27,-0.5874536458159128,4
2024-05-01,28,0.9999999931983559,3
2024-05-01,29,-0.0009788933182335313,2
2024-05-01,31,-0.16188119858998107,1
2024-05-01,32,0.3652188325360598,5
2024-05-01,34,-0.22382813692092896,1
2024-05-01,35,0.22548135630081562,5
2024-05-01,36,-2.5836768180909075e-05,1
2024-05-01,38,-0.036406092595522445,3
2024-05-01,39,0.3750181458890438,1
2024-05-01,40,-0.9966944632637933,1
2024-05-01,41,-0.0031755807704030303,1
2024-05-01,42,-0.9930145436187559,1
2024-05-01,43,0.14513300547696417,2
2024-05-01,44,-7.070073962722745e-06,1
2024-05-01,46,-0.017178266309201717,1
2024-05-01,50,-0.28839952322459794,2
2024-06-12,0,0.20135000454376137,24
2024-06-12,1,0.0552857386930008,20
2024-06-12,2,0.03395575256214638,10
2024-06-12,3,-0.008515583093412715,4
2024-06-12,4,-0.09273278463152224,4
2024-06-12,5,0.06393381851230515,10
2024-06-12,6,-0.1568240572455166,11
2024-06-12,7,-0.1023379780298093,10
2024-06-12,8,-0.012430588490747851,8
2024-06-12,9,-0.06958283231688256,2
2024-06-12,10,0.9996657812433598,7
2024-06-12,11,-3.523908880254112e-06,1
2024-06-12,12,-0.09815414832598851,9
2024-06-12,13,0.6503648765779696,3
2024-06-12,14,-0.1329940801108913,16
2024-06-12,15,-0.004772879445954459,5
2024-06-12,17,0.19406948427548515,5
2024-06-12,18,0.18693799299789463,3
2024-06-12,19,0.08952951752644367,4
2024-06-12,20,0.013563762038599237,5
2024-06-12,21,0.28300289573864745,4
2024-06-12,23,-0.00040060712080958183,1
2024-06-12,26,-0.00014062511773242173,3
2024-06-12,27,-0.21418766121860244,4
2024-06-12,28,0.7913996299752258,2
2024-06-12,29,0.03488423989028888,2
2024-06-12,30,0.32362489649716597,2
2024-06-12,33,0.33298748860352134,3
2024-06-12,34,-0.6408417843631469,2
2024-06-12,35,0.8017348675483168,5
2024-06-12,37,-0.5098593086004257,1
2024-06-12,38,-0.03881032403902888,3
2024-06-12,39,0.9273397054639645,1
2024-06-12,40,-0.047410604931477404,7
2024-06-12,42,0.006391998315962155,2
2024-06-12,43,-0.0159066516428652,2
2024-06-12,47,-0.001884966480474759,2
2024-06-12,50,-0.279063452522981,3
2024-06-12,51,0.9999996087157754,1
2024-07-31,0,0.03645681861275326,18
2024-07-31,1,-0.10605229111033862,22
2024-07-31,2,0.009838767473893804,11
2024-07-31,3,-0.047811461731422845,6
2024-07-31,4,-0.13023130732835853,4
2024-07-31,5,-0.8453499031311367,1
2024-07-31,6,-0.02406127043930913,6
2024-07-31,7,-0.024451383843621482,15
2024-07-31,8,-0.04721965054952345,7
2024-07-31,9,-0.000933030321085937,6
2024-07-31,10,-0.2145109117969696,5
2024-07-31,12,0.19840802601326482,9
2024-07-31,14,0.9999480334481632,1
2024-07-31,15,-0.0007001061963668084,6
2024-07-31,17,-0.44569414908004645,7
2024-07-31,19,-0.9538584351539612,1
2024-07-31,20,-0.34936416149139404,1
2024-07-31,21,-0.009952694177627563,1
2024-07-31,22,-0.0035103123188164886,5
2024-07-31,23,0.002766219363377805,6
2024-07-31,25,0.17630041547133146,5
2024-07-31,26,-0.3714717075515182,5
2024-07-31,27,-0.4778486196883023,2
2024-07-31,28,-0.08104610498644574,9
2024-07-31,29,2.0409694116096944e-05,1
2024-07-31,31,-2.372309063503053e-05,1
2024-07-31,32,0.12790972228849162,8
2024-07-31,33,0.39278414064028766,1
2024-07-31,35,-1.6528524270142952e-05,1
2024-07-31,36,-0.00034079904232638586,9
2024-07-31,40,-0.003766475052995588,5
2024-07-31,42,-2.162892334922617e-05,1
2024-07-31,43,-0.07211168305847034,7
2024-07-31,44,-5.139812122934018e-05,1
